id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1BPkgJatVvblOLX2A38k9i,0.661,0.552,6,-9.141,0,0.0478,0.493,0,0.0834,0.87,161.986,182947,4
5HUHDFDE5AiYMOPg1Y4AAa,0.729,0.856,5,-5.221,0,0.162,0.046,0,0.108,0.516,65.09,214240,4
6DERuTdtnTkjvUC5eKeXwH,0.467,0.721,8,-7.522,1,0.0652,0.0406,0,0.315,0.394,173.836,237720,4
3IyeQMpMEqNcEvFQGJ2eps,0.612,0.875,1,-6.032,1,0.351,0.253,0,0.423,0.823,99.882,211360,4
2OlWBmSjf1aUPGLNf0UI5A,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
0R0Xy7144ZdHrzhIMJ1sXh,0.654,0.745,1,-4.843,0,0.0607,0.0077,3.24e-05,0.0639,0.143,119.89,203680,4
4vKJqWbsaykp3VYNXqL46c,0.607,0.715,5,-5.875,1,0.217,0.0141,3.75e-06,0.274,0.852,170.028,171500,4
1ArNgrWXM0eMnLdvP4hpyM,0.816,0.74,6,-6.689,1,0.249,0.016,0,0.12,0.668,158.004,173165,4
6nHqns54LRqDNjeqKDF3v8,0.562,0.857,7,-3.926,0,0.0801,0.0383,0,0.11,0.539,126.883,197936,4
28r9sD2b6FluK7YHjTJ0fl,0.786,0.7,5,-5.041,0,0.059,0.116,0.000204,0.263,0.65,109.021,208240,4
41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,224573,4
4kgsK0fftHtg9gZOzkU5T2,0.645,0.589,6,-6.131,1,0.0523,0.00396,0,0.145,0.35,131.899,215672,4
0IZM2onaTBMRTEIcc5oIi9,0.702,0.839,7,-3.992,1,0.0439,8.1e-05,0,0.072,0.856,132.007,223227,4
285HeuLxsngjFn4GGegGNm,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,192560,4
1XGmzt0PVuFgQYYnV2It7A,0.741,0.742,4,-4.774,1,0.0395,0.0169,0,0.293,0.521,110.018,231173,4
6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.815,110.015,190453,4
6EF9SuEEFvCrVyV98enq5v,0.439,0.322,9,-5.959,1,0.028,0.692,0,0.103,0.16,77.963,232587,4
2EBCVPNAG46nbgs6jXPGvv,0.746,0.728,11,-2.464,0,0.0762,0.158,0,0.249,0.708,124.954,210627,4
5Db9VIdDsN5yu3Eu7CT0i4,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,172724,4
6K6cmRM64IvoDkHQeZtewC,0.621,0.825,5,-4.686,1,0.042,0.0063,6.76e-05,0.249,0.593,122.057,204773,4
0IKK48xF4eEdfofyaeKWWO,0.588,0.702,11,-4.271,1,0.0496,0.104,0,0.089,0.429,124.909,203686,4
3CJvmtWw2bJsudbAC5uCQk,0.803,0.492,5,-7.177,0,0.128,0.0155,3.93e-06,0.336,0.493,111.001,200680,4
0r4SsYcwvd8URat6AS2m6f,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022,201122,4
22mek4IiqubGD9ctzxc69s,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,4
6WLS56xiRrXjSm9RSdL3zD,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428,4
4OoNDHg5UuTQnibNL2tB9n,0.63,0.995,1,-1.071,1,0.0574,0.012,0.0601,0.145,0.522,127.967,120878,4
5eCgNATwXgRc4mZx9NymGJ,0.567,0.746,6,-3.748,0,0.0511,0.335,0,0.392,0.578,128.03,228750,4
70CuZJtPDdCD3cphDDhjJq,0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,227267,4
1gNj8JoisgQZQmrcpfx9E5,0.617,0.896,6,-5.262,0,0.0653,0.00901,0,0.635,0.6,125.057,222240,4
3CJvmtWw2bJsudbAC5uCQk,0.803,0.492,5,-7.177,0,0.128,0.0155,3.93e-06,0.336,0.493,111.001,200680,4
0r4SsYcwvd8URat6AS2m6f,0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022,201122,4
2xr4UGp2Xzxxncn8hrMz8Z,0.581,0.952,3,-3.393,1,0.0525,0.00085,0,0.131,0.65,115.984,229547,4
5XzmZjXhMjDHr7ZfJ6DELQ,0.579,0.268,2,-5.65,1,0.0442,0.868,0,0.12,0.321,205.903,188238,4
41F3Bz1FLoYQmxbcG6T1zT,0.441,0.692,7,-5.427,0,0.128,0.359,1.94e-06,0.161,0.475,189.879,219560,4
4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
1dD1aarWotVIiFo5gGdMc2,0.554,0.335,5,-5.513,1,0.0281,0.618,0,0.0927,0.298,133.709,158320,4
6lY1KbTstDlhi4YAO0WaZk,0.707,0.683,8,-5.388,1,0.0368,0.653,0,0.112,0.629,96.008,218997,4
0NmeI6UpRE27dxxgosD5n9,0.742,0.809,1,-3.591,0,0.176,0.0116,2.77e-06,0.726,0.632,93.95,213524,4
1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
53CEmBYCjf4ZEFCNoeVpZo,0.616,0.634,9,-8.586,1,0.0384,0.358,5.24e-06,0.268,0.657,81.982,200467,4
4pdPtRcBmOSQDlJ3Fk945m,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,205947,4
06KyNuuMOX1ROXRhj787tj,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,4
7KxhSJOYiqCDclXDBNlFSZ,0.752,0.887,10,-5.449,0,0.039,0.00861,5.12e-05,0.0974,0.375,120.022,217907,4
4qE36yuwYbHnsPzlwhrO3M,0.649,0.258,1,-13.442,1,0.0363,0.74,0,0.0799,0.372,90.937,189053,4
09CtPGIpYB4BrO8qb1RGsF,0.605,0.768,0,-3.724,0,0.0476,0.0865,0,0.308,0.414,100.209,200787,4
6FXNfYIY6iEeCKuIeSYWgg,0.705,0.758,9,-5.482,0,0.0506,0.142,0,0.109,0.569,107.965,215613,4
7jv4Mb21bdd9SDVOm9Fm9l,0.669,0.592,11,-3.968,0,0.0312,0.0213,0,0.124,0.447,98.065,229013,4
2sC2P3BN0IXujNaaSyDmtP,0.753,0.712,5,-5.479,1,0.0501,0.0831,0,0.104,0.56,95.995,231827,4
1KK0j3djUgx5tuOMwesdAT,0.586,0.613,5,-5.593,0,0.0386,0.00441,0.000183,0.0853,0.319,114.101,214746,4
7x5xYW5W42OGPAdHUyyguy,0.509,0.671,1,-5.709,1,0.0678,0.304,0,0.0452,0.55,118.413,227480,5
0ENSn4fwAbCGeFGVUbXEU3,0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,295493,4
2fykwqa2RQzI6nBCwhTfqD,0.783,0.67,7,-3.935,1,0.0432,0.199,0,0.274,0.842,106.05,197800,4
6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.815,110.015,190453,4
3JiockjOTd8m2VGcTGkmew,0.699,0.708,11,-3.835,0,0.108,0.00906,0,0.487,0.366,93.023,222227,4
33NHr7lu7tCMjK05jUj1v0,0.777,0.898,4,-4.461,1,0.0581,0.0322,0,0.313,0.866,111.996,211787,4
3oWkBnpg6cYYwUka7kmomo,0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,224573,4
6nRwc5GgNvBMkKaynhQzrm,0.841,0.571,5,-8.066,0,0.102,0.65,0.00033,0.0895,0.772,125.032,207547,4
0HMjXBAZmSYOTTi33WpMso,0.655,0.699,11,-4.421,1,0.0493,0.0352,0,0.064,0.802,86.704,187427,4
0yN4fNzmVnmgC0dsOoi9Wh,0.644,0.801,7,-6.147,1,0.181,0.0991,4.94e-06,0.166,0.3,170.167,211933,4
70AoHzwXbJBdz3DZ5fSDfY,0.691,0.712,5,-3.421,1,0.0327,0.0557,2.73e-05,0.0896,0.421,110.007,208000,4
5ByIHT8s38diBQf6dkEWbt,0.864,0.738,4,-4.323,1,0.0309,0.214,0,0.179,0.938,100.0,174190,4
3ulIErpIehDSLfmQmUax5g,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,231827,4
4KcVVhAaHxqtX2ANt4b3tc,0.713,0.79,7,-4.602,0,0.0574,0.00339,0.000868,0.485,0.308,98.011,176561,4
33okDqzPPYo8vwC3Mc1pOr,0.847,0.882,11,-4.536,0,0.0551,0.0416,0.000201,0.103,0.793,122.013,185947,4
0HFx7PLqzGxSfN59j3UHmR,0.775,0.68,0,-5.508,0,0.0629,0.00906,0,0.109,0.656,114.025,207719,4
6YhDHby2eVeENKJNa7C2z6,0.62,0.828,10,-4.685,1,0.0413,0.00557,0.000102,0.156,0.564,122.042,205067,4
34ONrmvZfttfTZR5NXrC6e,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,219200,4
2NUywKUCM9T0Csy1e6sllv,0.633,0.81,1,-4.815,1,0.15,0.0134,1.36e-06,0.292,0.775,124.988,189342,4
2bZMOs3RjmhhGca6MEzjyl,0.723,0.613,3,-5.707,0,0.156,0.0507,0.000314,0.176,0.539,150.076,227480,4
0NTMtAO2BV4tnGvw9EgBVq,0.778,0.741,10,-4.97,0,0.0484,0.0538,2.04e-06,0.29,0.364,102.95,219306,4
2sNvitW3TxiTeC9xT9f2ZZ,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,273684,4
62ke5zFUJN6RvtXZgVH0F8,0.566,0.885,8,-4.527,1,0.0815,0.0959,9.83e-05,0.334,0.307,90.989,232893,4
53b7YqVw2Vc1oRrYeOm7z7,0.5,0.791,6,-3.711,1,0.0505,0.012,0,0.0645,0.444,149.093,198693,4
4rmPQGwcLQjCoFq5NrTA0D,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,115.004,270627,4
7J4gq1xNP3IsG6lDk0eSa7,0.572,0.661,4,-5.304,0,0.0472,0.59,0,0.121,0.386,129.093,241587,4
34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4
5MhsZlmKJG6X5kTHkdwC4B,0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,166849,4
5a5so8nqDGq75MI5WMbBtT,0.948,0.632,2,-5.463,1,0.146,0.0582,0.000106,0.204,0.742,130.018,260827,4
3s4U7OHV7gnj42VV72eSZ6,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4
41Ypl7Pzkod2H0VlcZH5DS,0.552,0.773,5,-4.626,0,0.0324,0.00653,0,0.257,0.514,174.033,193975,4
6NkRjdInQuM5qRgeYUDCZe,0.245,0.611,5,-6.676,0,0.051,0.295,0,0.124,0.288,189.194,252539,4
0ifSeVGUr7py5GggttDhXw,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064,188754,4
2YlZnw2ikdb837oKMKjBkW,0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,225053,3
1BECwm5qkaBwlbfo4kpYx8,0.462,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.405,139.256,203507,4
3qhobDAfBcVoOWZP8Ck8R2,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4
4NphdFxnXNaqYM0XkdrRUT,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,220440,4
1cdzfFjEbUbgTm5nv3FgXR,0.681,0.879,3,-6.006,0,0.291,0.266,0,0.446,0.818,99.955,211360,4
5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,196693,4
4BFcFKI6rGcc2GQFqD5bz8,0.607,0.816,11,-7.232,0,0.0394,0.0164,0,0.14,0.465,146.002,187066,4
4oHmgneU9dwYoqg0SJSOCf,0.762,0.87,6,-3.287,0,0.128,0.0788,0,0.137,0.753,132.049,230635,4
7m2t7klcyyN0mqxVweaslO,0.683,0.946,2,-4.356,1,0.122,0.15,0,0.136,0.824,118.025,175169,4
197pwvkIKoIvv4UXzv4HPb,0.704,0.807,10,-4.12,0,0.0439,0.236,0,0.335,0.723,126.004,206773,4
2mCF8L0brIs88eH6Kf2h9p,0.56,0.592,9,-6.951,1,0.0544,0.455,0,0.297,0.564,112.684,212424,4
05cXQMJcrM9msUYu11mOrs,0.32,0.752,6,-4.91,0,0.056,0.289,0.000101,0.102,0.392,98.88,263893,4
1PWnAEQcbwQwK759otUbta,0.306,0.302,5,-8.188,0,0.0304,0.76,6.65e-06,0.0908,0.0784,96.456,278987,3
3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1,-4.789,1,0.185,0.375,0,0.317,0.832,79.427,184227,4
2wA4C7X7O9hMjuemyHwLgd,0.696,0.694,0,-6.631,1,0.0534,0.269,4.36e-06,0.0862,0.736,154.941,213445,4
3NFuE3uDOr6QUw9UZ9HzKo,0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,219043,4
72Bz4ciRZPBcVSw0nrZDHi,0.714,0.559,8,-6.543,1,0.0515,0.0299,0,0.088,0.411,95.979,207746,4
285HeuLxsngjFn4GGegGNm,0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,192560,4
72ojun8ufF5Y0YzssmvVHL,0.571,0.78,7,-4.227,1,0.0462,0.00576,0.000601,0.501,0.356,127.931,200027,4
21Go4aMyLGP40ANI3TU0Fn,0.708,0.779,7,-6.28,1,0.0787,0.421,0.00176,0.115,0.46,142.012,218228,4
6sKAs2tdtTVTO2U0IgJAur,0.834,0.969,6,-3.383,1,0.063,0.0558,0.000723,0.0635,0.928,125.985,169617,4
7fPHfBCyKE3aVCBjE4DAvl,0.48,0.682,7,-4.94,1,0.13,0.0696,0,0.0463,0.506,167.939,235653,3
7exnxg6XItzllOVVvFgwQE,0.745,0.791,6,-4.433,1,0.0716,0.116,0.000296,0.059,0.666,93.956,181107,4
5aVCrbz2wVTA4OFxYd8ZGA,0.562,0.813,1,-4.247,1,0.0892,0.0523,1.6e-06,0.192,0.209,134.696,239980,4
0FxnKrx0noMmQWusERQ2O7,0.671,0.71,4,-5.759,0,0.0328,0.0231,0,0.141,0.389,93.979,207480,4
4Aep3WGBQlpbKXkW7kfqcU,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526,4
4AVUqcPZB0AaRF0tCmyNiI,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,4
5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,236133,4
4yDLW1kpgN7RGa6wCtxlL8,0.528,0.574,5,-6.543,1,0.0379,0.0384,0.000473,0.114,0.0785,78.999,249600,4
5XzmZjXhMjDHr7ZfJ6DELQ,0.579,0.268,2,-5.65,1,0.0442,0.868,0,0.12,0.321,205.903,188238,4
357p2KRTBXeGGw6YfUI1nH,0.775,0.825,7,-5.402,1,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,182667,4
5zlC5d5umTrbcX9sLVVxzh,0.76,0.886,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,189399,4
0fioLzGM8ngbD1w6fMmm45,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,239317,4
6kwAbEjseqBob48jCus7Sz,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
5eWgDlp3k6Tb5RD8690s6I,0.744,0.783,1,-7.077,1,0.0337,0.0553,0,0.086,0.885,120.042,235493,4
7q6pXvSL7G6NkvSSt7YGJ0,0.674,0.778,1,-4.537,1,0.0772,0.0402,0.000448,0.288,0.416,122.955,218787,4
0ct6r3EGTcMLPtrXHDvVjc,0.528,0.852,6,-5.294,1,0.0435,0.0181,0,0.242,0.647,126.012,176658,4
02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024,213507,4
0YzCQcsgj6KqwBHVx1mZrH,0.509,0.752,5,-4.127,1,0.0646,0.0334,0,0.262,0.376,125.87,209867,4
4RZMYKoQiDH27kh6UoIrI2,0.478,0.386,4,-7.999,0,0.0893,0.0183,0,0.264,0.268,201.753,192653,4
3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,4
6dshconh2KBbGxVh7GtSTC,0.714,0.951,0,-4.151,1,0.0533,0.00344,0.000161,0.225,0.458,128.964,209700,4
2VhPOtIQw2UpQmRVevdviU,0.707,0.75,0,-4.421,0,0.0824,0.27,0,0.37,0.736,149.997,199373,4
3vMCg20dt8lUiPozDINUBf,0.459,0.741,4,-6.43,0,0.0495,0.000189,0,0.481,0.344,189.879,231013,4
4E8KoNTXZnWDE3cCjjw8FU,0.686,0.692,7,-5.325,0,0.0454,0.0063,4.54e-05,0.251,0.23,129.947,214693,4
1iXBApi39l5r6lJj9WEXXS,0.863,0.601,7,-6.978,0,0.054,0.109,0.00764,0.0676,0.178,122.961,251960,4
49eplIHvgCLY8HAgcaWrUb,0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951,235012,4
2PIvq1pGrUjY007X5y1UpM,0.664,0.371,2,-5.959,0,0.0306,0.404,0,0.0971,0.429,119.95,252227,3
46X0dXeliHXD73sxexJx7d,0.849,0.51,8,-6.902,0,0.516,0.352,0,0.0956,0.273,120.02,312187,4
6eLrCtqlpjroAkES2EHCx0,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382,4
0ofbQMrRDsUaVKq2mGLEAb,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
1bhUWB0zJMIKr9yVPrkEuI,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3
2Xqd0wUttjueBfdcltADOv,0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,245387,4
2TBQoW7s6iwKcg139ssqie,0.664,0.753,0,-3.589,1,0.0323,0.057,0,0.088,0.54,118.253,181279,4
0tKcYR2II1VCQWT79i5NrW,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4
6foxplXS0YEq8cO374Lty4,0.95,0.533,5,-7.022,1,0.148,0.247,0,0.114,0.675,119.869,124056,4
0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,241107,4
22Je85Q7fw8oVDRIHiv4z3,0.906,0.525,2,-4.47,1,0.181,0.0508,0,0.148,0.141,138.022,307660,4
7wGoVu4Dady5GV0Sv4UIsx,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4
0mel2N9Ws9r4yLQn5QE21Y,0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,201000,4
0lcJ1p6R8PWT5u7GW4J9YH,0.69,0.771,1,-4.939,1,0.157,0.0555,0,0.138,0.629,78.518,157643,4
5UEnHoDYpsxlfzWLZIc7LD,0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,221013,4
3YU6vJbjYUG0tiJyXf9x5V,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
6mrKP2jyIQmM0rw6fQryjr,0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,212120,4
2mdxJLJHzFmiiYdTZ8JcyH,0.565,0.55,8,-5.357,0,0.0397,0.0782,0,0.196,0.302,143.927,223347,4
2771LMNxwf62FTAdpJMQfM,0.929,0.723,11,-5.792,0,0.109,0.0672,0,0.346,0.458,125.022,223962,4
6kRLO37FUloOrKiv9VpkaN,0.642,0.939,1,-2.697,0,0.0655,0.00537,0.075,0.201,0.648,110.01,190448,4
4U9arGcc4ATa7shChhLQP0,0.494,0.778,8,-7.041,1,0.0359,0.000115,0,0.0904,0.406,139.963,188228,4
0iQ77tSa7ncj7zBPtVx6cU,0.582,0.821,0,-4.861,1,0.0365,0.00754,2.1e-06,0.818,0.468,100.025,261373,4
7FESgYLcOufHqKlwrvJN60,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,163251,4
4bPWDXpN6MlTZBedxega3X,0.863,0.656,7,-7.286,1,0.104,0.264,0.00495,0.0712,0.821,115.963,235813,4
7MUNNBJKYo3cdokp06wEOB,0.728,0.673,5,-5.766,1,0.0318,0.0964,6.94e-06,0.0695,0.489,127.995,214853,4
3M0pROlXyH0bzh9CNJhDOJ,0.656,0.572,4,-8.162,1,0.0319,0.653,0.000179,0.113,0.319,130.37,201786,4
